bit_1,bit_2,bit_3,bit_4,bit_5,bit_6,output
0,0,0,0,0,0,0
0,0,0,0,0,1,1
0,0,0,0,1,0,2
0,0,0,0,1,1,3
0,0,0,1,0,0,4
0,0,0,1,0,1,5
0,0,0,1,1,0,6
0,0,0,1,1,1,7
0,0,1,0,0,0,8
0,0,1,0,0,1,9
0,0,1,0,1,0,10
0,0,1,0,1,1,11
0,0,1,1,0,0,12
0,0,1,1,0,1,13
0,0,1,1,1,0,14
0,0,1,1,1,1,15
0,1,0,0,0,0,16
0,1,0,0,0,1,17
0,1,0,0,1,0,18
0,1,0,0,1,1,19
0,1,0,1,0,0,20
0,1,0,1,0,1,21
0,1,0,1,1,0,22
0,1,0,1,1,1,23
0,1,1,0,0,0,24
0,1,1,0,0,1,25
0,1,1,0,1,0,26
0,1,1,0,1,1,27
0,1,1,1,0,0,28
0,1,1,1,0,1,29
0,1,1,1,1,0,30
0,1,1,1,1,1,31
1,0,0,0,0,0,32
1,0,0,0,0,1,33
1,0,0,0,1,0,34
1,0,0,0,1,1,35
1,0,0,1,0,0,36
1,0,0,1,0,1,37
1,0,0,1,1,0,38
1,0,0,1,1,1,39
1,0,1,0,0,0,40
1,0,1,0,0,1,41
1,0,1,0,1,0,42
1,0,1,0,1,1,43
1,0,1,1,0,0,44
1,0,1,1,0,1,45
1,0,1,1,1,0,46
1,0,1,1,1,1,47
1,1,0,0,0,0,48
1,1,0,0,0,1,49
1,1,0,0,1,0,50
1,1,0,0,1,1,51
1,1,0,1,0,0,52
1,1,0,1,0,1,53
1,1,0,1,1,0,54
1,1,0,1,1,1,55
1,1,1,0,0,0,56
1,1,1,0,0,1,57
1,1,1,0,1,0,58
1,1,1,0,1,1,59
1,1,1,1,0,0,60
1,1,1,1,0,1,61
1,1,1,1,1,0,62
1,1,1,1,1,1,63
